,price,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,accommodates,bedrooms,beds,bathrooms,bathroom_type_private,bathroom_type_shared,neighbourhood_Brooklyn,neighbourhood_Manhattan,neighbourhood_Queens,wifi,smoke_alarm,carbon_monoxide_alarm,kitchen,air_conditioning,tv,iron,essentials,hangers,shampoo,refrigerator,hair_dryer,dishes_and_silverware,hot_water,cooking_basics,heating,bed_linens,microwave,oven,fire_extinguisher,coffee_maker,free_street_parking,first_aid_kit,self_check_in,dedicated_workspace
137,41.0,0,0,1,0,2,1,2,1.5,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
138,350.0,1,0,0,0,12,3,5,2.5,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
139,41.0,0,0,1,0,3,1,2,1.0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
140,45.0,0,0,1,0,2,1,2,1.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
141,119.0,1,0,0,0,4,2,3,2.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1
142,175.0,1,0,0,0,4,1,1,1.5,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
143,150.0,0,0,1,0,2,1,1,1.0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1
144,175.0,1,0,0,0,4,2,1,1.0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0
145,600.0,1,0,0,0,8,3,3,2.0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
146,65.0,0,0,1,0,1,1,1,1.0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0
